year,city,country,avg_local_temp,avg_global_temp
1975,Delhi,India,25.02,8.74
1976,Delhi,India,25.33,8.35
1977,Delhi,India,25.41,8.85
1978,Delhi,India,25.21,8.69
1979,Delhi,India,25.81,8.73
1980,Delhi,India,26.02,8.98
1981,Delhi,India,25.79,9.17
1982,Delhi,India,25.18,8.64
1983,Delhi,India,24.75,9.03
1984,Delhi,India,25.56,8.69
1985,Delhi,India,25.86,8.66
1986,Delhi,India,25.31,8.83
1987,Delhi,India,26.54,8.99
1988,Delhi,India,26.11,9.20
1989,Delhi,India,25.43,8.92
1990,Delhi,India,25.54,9.23
1991,Delhi,India,25.74,9.18
1992,Delhi,India,25.52,8.84
1993,Delhi,India,25.92,8.87
1994,Delhi,India,25.87,9.04
1995,Delhi,India,25.92,9.35
1996,Delhi,India,25.55,9.04
1997,Delhi,India,24.71,9.20
1998,Delhi,India,25.77,9.52
1999,Delhi,India,26.36,9.29
2000,Delhi,India,26.05,9.20
2001,Delhi,India,25.86,9.41
2002,Delhi,India,26.63,9.57
2003,Delhi,India,25.72,9.53
2004,Delhi,India,26.24,9.32
2005,Delhi,India,25.72,9.70
2006,Delhi,India,26.37,9.53
2007,Delhi,India,26.15,9.73
2008,Delhi,India,25.68,9.43
2009,Delhi,India,26.55,9.51
2010,Delhi,India,26.52,9.70
2011,Delhi,India,25.63,9.52
2012,Delhi,India,25.89,9.51
2013,Delhi,India,26.71,9.61
